code,description,category,body_part
C50.011,Malignant neoplasm of nipple and areola right female breast,malignant,breast
C50.012,Malignant neoplasm of nipple and areola left female breast,malignant,breast
C50.019,Malignant neoplasm of nipple and areola unspecified female breast,malignant,breast
C50.111,Malignant neoplasm of central portion of right female breast,malignant,breast
C50.112,Malignant neoplasm of central portion of left female breast,malignant,breast
C50.119,Malignant neoplasm of central portion of unspecified female breast,malignant,breast
C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,malignant,breast
C50.212,Malignant neoplasm of upper-inner quadrant of left female breast,malignant,breast
C50.219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,malignant,breast
C50.311,Malignant neoplasm of lower-inner quadrant of right female breast,malignant,breast
C50.312,Malignant neoplasm of lower-inner quadrant of left female breast,malignant,breast
C50.319,Malignant neoplasm of lower-inner quadrant of unspecified female breast,malignant,breast
C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,malignant,breast
C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,malignant,breast
C50.419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,malignant,breast
C50.511,Malignant neoplasm of lower-outer quadrant of right female breast,malignant,breast
C50.512,Malignant neoplasm of lower-outer quadrant of left female breast,malignant,breast
C50.519,Malignant neoplasm of lower-outer quadrant of unspecified female breast,malignant,breast
C50.611,Malignant neoplasm of axillary tail of right female breast,malignant,breast
C50.612,Malignant neoplasm of axillary tail of left female breast,malignant,breast
C50.619,Malignant neoplasm of axillary tail of unspecified female breast,malignant,breast
C50.811,Malignant neoplasm of overlapping sites of right female breast,malignant,breast
C50.812,Malignant neoplasm of overlapping sites of left female breast,malignant,breast
C50.819,Malignant neoplasm of overlapping sites of unspecified female breast,malignant,breast
C50.911,Malignant neoplasm of unspecified site of right female breast,malignant,breast
C50.912,Malignant neoplasm of unspecified site of left female breast,malignant,breast
C50.919,Malignant neoplasm of unspecified site of unspecified female breast,malignant,breast
C50.921,Malignant neoplasm of unspecified site of right male breast,malignant,breast
C50.922,Malignant neoplasm of unspecified site of left male breast,malignant,breast
C50.929,Malignant neoplasm of unspecified site of unspecified male breast,malignant,breast
D05.10,Intraductal carcinoma in situ of unspecified breast,in_situ,breast
D05.11,Intraductal carcinoma in situ of right breast,in_situ,breast
D05.12,Intraductal carcinoma in situ of left breast,in_situ,breast
D05.80,Other specified type of carcinoma in situ of unspecified breast,in_situ,breast
D05.81,Other specified type of carcinoma in situ of right breast,in_situ,breast
D05.82,Other specified type of carcinoma in situ of left breast,in_situ,breast
D05.90,Unspecified type of carcinoma in situ of unspecified breast,in_situ,breast
D05.91,Unspecified type of carcinoma in situ of right breast,in_situ,breast
D05.92,Unspecified type of carcinoma in situ of left breast,in_situ,breast
D24.1,Benign neoplasm of right breast,benign,breast
D24.2,Benign neoplasm of left breast,benign,breast
D24.9,Benign neoplasm of unspecified breast,benign,breast
D48.60,Neoplasm of uncertain behavior of unspecified breast,uncertain,breast
D48.61,Neoplasm of uncertain behavior of right breast,uncertain,breast
D48.62,Neoplasm of uncertain behavior of left breast,uncertain,breast
N63.0,Unspecified lump in unspecified breast,finding,breast
N63.10,Unspecified lump in the right breast unspecified quadrant,finding,breast
N63.20,Unspecified lump in the left breast unspecified quadrant,finding,breast
R92.0,Mammographic microcalcification found on diagnostic imaging of breast,finding,breast
R92.1,Mammographic calcification found on diagnostic imaging of breast,finding,breast
R92.2,Inconclusive mammogram,finding,breast
R92.8,Other abnormal and inconclusive findings on diagnostic imaging of breast,finding,breast
Z12.31,Encounter for screening mammogram for malignant neoplasm of breast,screening,breast
Z80.3,Family history of malignant neoplasm of breast,history,breast
C34.00,Malignant neoplasm of unspecified main bronchus,malignant,lung
C34.01,Malignant neoplasm of right main bronchus,malignant,lung
C34.02,Malignant neoplasm of left main bronchus,malignant,lung
C34.10,Malignant neoplasm of upper lobe unspecified bronchus or lung,malignant,lung
C34.11,Malignant neoplasm of upper lobe right bronchus or lung,malignant,lung
C34.12,Malignant neoplasm of upper lobe left bronchus or lung,malignant,lung
